행정구,총주택수,일반단독주택,다가구주택,영업겸용주택,아파트,연립주택,다세대주택,비거주용건물내주택
종로구,46859,6572,4070,1617,15688,5460,12540,912
중구,42234,2266,2436,1265,26102,1944,7352,869
용산구,74542,4941,7359,1764,37676,3969,18124,709
성동구,91329,1947,6759,1819,67584,1990,10158,1072
광진구,89832,617,11711,3004,32135,4054,36858,1453
동대문구,103520,4344,9942,2834,65033,3274,16511,1582
중랑구,112364,1787,13464,3309,55499,4466,32303,1536
성북구,138621,9622,9897,3001,79206,6262,29213,1420
강북구,97452,4814,10222,2521,34733,4789,39331,1042
도봉구,107156,1412,5586,1636,65032,4144,28620,726
노원구,189213,2132,3332,1155,163502,3448,14948,696
은평구,150658,4223,8111,2603,59438,5830,69210,1243
서대문구,101036,2726,8128,1746,54132,5461,27910,933
마포구,122311,2855,6332,2431,70307,3142,35643,1601
양천구,143769,617,5319,1762,90788,4042,40382,859
강서구,195383,1230,6882,2148,113767,4794,65426,1136
구로구,133012,1563,8163,1748,83459,7388,29852,839
금천구,68804,357,7273,1177,31689,3914,23859,535
영등포구,107366,2107,9783,2386,74957,1487,15474,1172
동작구,115615,2565,9863,2094,61606,5289,33103,1095
관악구,127568,3564,14545,3140,55417,6218,42770,1914
서초구,133528,871,3579,1031,94499,5356,26931,1261
강남구,173745,839,4669,1460,126023,5827,33190,1737
송파구,211578,431,5705,1936,127239,4900,69796,1571
강동구,137876,509,7269,2178,87159,3114,36562,1085
