행정구별,행정동별,총인구수,내국인,외국인
서울시,서울시,9655918,9407540,248378
종로구,종로구,151127,139945,11182
종로구,사직동,9326,9042,284
종로구,삼청동,2495,2252,243
종로구,부암동,9443,9136,307
종로구,평창동,17635,17442,193
종로구,무악동,8040,8012,28
종로구,교남동,9870,9700,170
종로구,가회동,3986,3876,110
종로구,종로1.2.3.4가동,8648,6730,1918
종로구,종로5.6가동,5916,5404,512
종로구,이화동,7566,6988,578
종로구,창신1동,5350,4559,791
종로구,창신2동,8641,7541,1100
종로구,창신3동,6539,6369,170
종로구,숭인1동,6102,5780,322
종로구,숭인2동,10540,9715,825
종로구,청운효자동,11539,11391,148
종로구,혜화동,19491,16008,3483
중구,중구,131825,121405,10420
중구,소공동,3512,2200,1312
중구,회현동,5107,4414,693
중구,명동,3510,2662,848
중구,필동,4858,4020,838
중구,장충동,5440,4591,849
중구,광희동,7117,5722,1395
중구,을지로동,3206,2917,289
중구,신당5동,10472,10129,343
중구,황학동,13614,12715,899
중구,중림동,12372,12041,331
중구,신당동,8921,7454,1467
중구,다산동,13809,13335,474
중구,약수동,16433,16196,237
중구,청구동,13318,13054,264
중구,동화동,10136,9955,181
용산구,용산구,230692,216152,14540
용산구,후암동,16540,16071,469
용산구,용산2가동,10229,8958,1271
용산구,남영동,7385,6880,505
용산구,원효로2동,13792,13670,122
용산구,효창동,10828,10695,133
용산구,용문동,11577,11468,109
용산구,이촌1동,25578,24966,612
용산구,이촌2동,7997,7929,68
용산구,이태원1동,7890,6031,1859
용산구,이태원2동,10263,8640,1623
용산구,서빙고동,13357,12526,831
용산구,보광동,13585,12256,1329
용산구,청파동,19786,18999,787
용산구,원효로1동,17837,17161,676
용산구,한강로동,22811,21119,1692
용산구,한남동,21237,18783,2454
성동구,성동구,285543,278366,7177
성동구,왕십리2동,16508,16160,348
성동구,마장동,22390,21731,659
성동구,사근동,14048,12010,2038
성동구,행당1동,13996,13703,293
성동구,행당2동,22970,22895,75
성동구,응봉동,15042,14983,59
성동구,금호1가동,14943,14849,94
성동구,금호4가동,14329,14204,125
성동구,성수1가1동,15812,15515,297
성동구,성수1가2동,12221,12032,189
성동구,성수2가1동,15131,14655,476
성동구,성수2가3동,10365,10123,242
성동구,송정동,10221,9823,398
성동구,용답동,12915,11953,962
성동구,왕십리도선동,26830,26329,501
성동구,금호2.3가동,22124,21949,175
성동구,옥수동,25698,25452,246
광진구,광진구,351959,336604,15355
광진구,화양동,27844,23458,4386
광진구,군자동,21592,19194,2398
광진구,중곡1동,15640,15218,422
광진구,중곡2동,20950,20610,340
광진구,중곡3동,16032,15764,268
광진구,중곡4동,28032,27646,386
광진구,능동,11515,11121,394
광진구,구의1동,23929,23224,705
광진구,구의2동,26329,25737,592
광진구,구의3동,28095,27858,237
광진구,광장동,34296,34073,223
광진구,자양1동,22840,21966,874
광진구,자양2동,23995,23682,313
광진구,자양3동,27567,27246,321
광진구,자양4동,23303,19807,3496
동대문구,동대문구,359113,341238,17875
동대문구,회기동,13581,10430,3151
동대문구,휘경1동,16168,13838,2330
동대문구,휘경2동,25288,24356,932
동대문구,청량리동,19405,18829,576
동대문구,용신동,40016,38361,1655
동대문구,제기동,25808,23408,2400
동대문구,전농1동,31659,30998,661
동대문구,전농2동,18556,18077,479
동대문구,답십리2동,27883,27572,311
동대문구,장안1동,38147,37515,632
동대문구,장안2동,32859,32540,319
동대문구,이문1동,21364,17886,3478
동대문구,이문2동,19988,19465,523
동대문구,답십리1동,28391,27963,428
중랑구,중랑구,387940,382797,5143
중랑구,면목2동,24069,23683,386
중랑구,면목4동,18550,18239,311
중랑구,면목5동,14735,14595,140
중랑구,면목7동,21614,21291,323
중랑구,상봉1동,23455,23295,160
중랑구,상봉2동,20673,20252,421
중랑구,중화1동,19068,18867,201
중랑구,중화2동,24417,23961,456
중랑구,묵1동,33979,33751,228
중랑구,묵2동,18466,18215,251
중랑구,망우3동,16157,15753,404
중랑구,신내1동,38247,38077,170
중랑구,신내2동,19906,19828,78
중랑구,면목본동,33647,32904,743
중랑구,면목3.8동,25011,24567,444
중랑구,망우본동,35946,35519,427
성북구,성북구,440089,427671,12418
성북구,돈암1동,14420,14310,110
성북구,돈암2동,23619,23500,119
성북구,안암동,17439,15049,2390
성북구,보문동,16680,16276,404
성북구,정릉1동,18070,17840,230
성북구,정릉2동,22874,22614,260
성북구,정릉3동,16742,15027,1715
성북구,정릉4동,24624,24174,450
성북구,길음1동,34909,34762,147
성북구,길음2동,21925,21782,143
성북구,월곡1동,25909,25695,214
성북구,월곡2동,19652,19056,596
성북구,장위1동,23708,23482,226
성북구,장위2동,13482,13245,237
성북구,장위3동,15800,15663,137
성북구,성북동,16606,15983,623
성북구,삼선동,22875,22264,611
성북구,동선동,16016,15029,987
성북구,종암동,39799,37873,1926
성북구,석관동,34940,34047,893
강북구,강북구,294804,290155,4649
강북구,번1동,18417,17823,594
강북구,번2동,15055,14977,78
강북구,번3동,16505,16435,70
강북구,수유1동,20344,20032,312
강북구,수유2동,20836,20656,180
강북구,수유3동,23920,23045,875
강북구,삼양동,22751,22551,200
강북구,미아동,21657,20990,667
강북구,송중동,29486,28813,673
강북구,송천동,25397,24947,450
강북구,삼각산동,30817,30711,106
강북구,우이동,20118,19935,183
강북구,인수동,29501,29240,261
도봉구,도봉구,310133,307740,2393
도봉구,쌍문1동,21098,20716,382
도봉구,쌍문2동,18139,17983,156
도봉구,쌍문3동,16707,16502,205
도봉구,쌍문4동,18211,18152,59
도봉구,방학1동,28013,27776,237
도봉구,방학2동,18893,18701,192
도봉구,방학3동,26259,26188,71
도봉구,창1동,24281,24110,171
도봉구,창2동,28577,28290,287
도봉구,창3동,13389,13294,95
도봉구,창4동,26124,26025,99
도봉구,창5동,24069,23938,131
도봉구,도봉1동,20280,20128,152
도봉구,도봉2동,26093,25937,156
노원구,노원구,504423,499989,4434
노원구,월계1동,21384,20702,682
노원구,월계2동,25745,25601,144
노원구,월계3동,28989,28818,171
노원구,공릉2동,42448,41616,832
노원구,하계1동,26877,26386,491
노원구,하계2동,21432,21373,59
노원구,중계본동,23125,23067,58
노원구,중계1동,26419,26316,103
노원구,중계4동,19284,19153,131
노원구,상계1동,37267,37115,152
노원구,상계2동,19405,19240,165
노원구,상계5동,23222,23078,144
노원구,상계8동,21919,21869,50
노원구,상계9동,19800,19717,83
노원구,상계10동,18274,18213,61
노원구,상계3.4동,27469,27350,119
노원구,상계6.7동,31717,31548,169
노원구,중계2.3동,32780,32661,119
