,행정구,사업장명,업태구분명,지번주소,도로명주소,X,Y
0,강남구,루이스투,룸살롱,"서울특별시 강남구 역삼동 678-24 늘봄빌딩 2,3층","서울특별시 강남구 테헤란로27길 8-4, 늘봄빌딩 (2,3층) (역삼동)",203330.125,444424.745
1,강남구,오리엔탈 잭 리빈,고고(디스코)클럽,서울특별시 강남구 논현동 18-2 렉스관광호텔,"서울특별시 강남구 강남대로 588, 렉스관광호텔 지하1,2층 (논현동)",201746.195,445794.05
2,강남구,유앤미,단란주점,서울특별시 강남구 논현동 114-13 ,서울특별시 강남구 학동로41길 14 (논현동),203144.80596504,446081.04780932
3,강남구,트레조 노래광장,단란주점,서울특별시 강남구 논현동 58-5번지 ,서울특별시 강남구 논현로131길 7 (논현동),202556.871941642,445785.005806355
4,강남구,VIP노래바,단란주점,서울특별시 강남구 삼성동 153-63 ,서울특별시 강남구 테헤란로87길 37 (삼성동),205037.170293879,445334.858490269
5,강남구,건전지 3 (three),룸살롱,서울특별시 강남구 대치동 890-61 지상4층 ,"서울특별시 강남구 테헤란로68길 13 (대치동,지상4층)",204579.5953,444698.3933
6,강남구,아마데우스,단란주점,서울특별시 강남구 논현동 5-5번지 ,,,
7,강남구,레이스,룸살롱,서울특별시 강남구 역삼동 831-42 .43호,"서울특별시 강남구 역삼로 113 (역삼동,.43호)",202700.5362,443520.4098
8,강남구,멕시멈,룸살롱,서울특별시 강남구 논현동 204-4 지상1층,"서울특별시 강남구 봉은사로 135 (논현동,지상1층)",202526.5569,444894.426
9,강남구,건전지 4 (four),룸살롱,서울특별시 강남구 대치동 890-61 지상3층 ,"서울특별시 강남구 테헤란로68길 13 (대치동,지상3층)",204579.5953,444698.3933
10,강남구,까르마,단란주점,서울특별시 강남구 청담동 99-22번지 ,서울특별시 강남구 압구정로 446 (청담동),203971.475257276,447097.518806932
11,강남구,아우라,룸살롱,서울특별시 강남구 청담동 132-17,"서울특별시 강남구 영동대로 712, 지하1층 (청담동)",204964.3781,446579.7147
12,강남구,아이리스,기타,서울특별시 강남구 청담동 53-7 지상2층,"서울특별시 강남구 영동대로 737 (청담동,지상2층)",204714.7585,446852.0784
13,강남구,로망주점,단란주점,서울특별시 강남구 역삼동 718-17 ,서울특별시 강남구 언주로87길 44 (역삼동),203431.476034318,444292.419615412
14,강남구,비바노래바,단란주점,서울특별시 강남구 삼성동 157-13 지하1층 ,"서울특별시 강남구 테헤란로83길 21 (삼성동,지하1층)",204989.298665844,445177.918823966
15,강남구,타임즈,카바레,서울특별시 강남구 청담동 125-16번지 ,서울특별시 강남구 도산대로 535 (청담동),204526.0821,446991.1995
16,강남구,거기,룸살롱,서울특별시 강남구 역삼동 718-9 ,서울특별시 강남구 테헤란로28길 5 (역삼동),203363.152,444287.1218
17,강남구,라라(LaLa),룸살롱,서울특별시 강남구 삼성동 142-19 지하2층,"서울특별시 강남구 선릉로100길 56 (삼성동,지하2층)",204518.4468,444942.6462
