업태구분명,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
간이주점,0,2,2,3,4,0,0,0,1,0,1,1,9,1,0,0,0,2,0,8,3,0,5,17,0
고고(디스코)클럽,5,1,1,0,5,0,0,1,2,0,0,0,0,0,3,0,0,1,0,1,0,1,4,0,1
관광호텔나이트(디스코),4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0
관광호텔나이트(카바레),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
극장식당,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
기타,3,4,9,2,6,0,4,1,0,3,1,2,2,2,5,0,0,8,0,11,1,11,11,33,0
노래클럽,0,1,0,7,5,0,2,0,0,3,1,1,4,0,0,1,0,1,0,2,0,0,3,11,0
단란주점,194,84,87,160,79,70,72,66,37,45,67,32,57,45,80,34,47,135,63,118,89,120,103,59,93
룸살롱,140,86,43,105,156,8,20,40,17,12,39,36,27,10,32,15,5,64,4,102,5,51,143,129,12
비어(바)살롱,4,3,0,1,3,2,1,0,0,0,4,0,1,6,0,4,0,1,0,2,6,3,2,7,1
스텐드바,0,2,3,1,7,2,1,0,0,0,5,5,0,6,0,1,1,1,0,2,2,7,7,6,1
요정,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
카바레,10,4,7,9,5,1,4,0,0,1,2,0,2,2,2,1,2,6,0,2,3,4,4,3,2
