법정동,행정동,구분코드
청운동,청운효자동,0
신교동,청운효자동,0
궁정동,청운효자동,0
효자동,청운효자동,0
창성동,청운효자동,0
통의동,사직동,0
적선동,사직동,0
통인동,청운효자동,0
누상동,청운효자동,0
누하동,청운효자동,0
옥인동,청운효자동,0
체부동,사직동,0
필운동,사직동,0
내자동,사직동,0
사직동,사직동,0
도렴동,사직동,0
당주동,사직동,0
내수동,사직동,0
세종로,청운효자동,1
세종로,사직동,1
세종로,종로1·2·3·4가동,1
신문로1가,사직동,0
신문로2가,사직동,0
청진동,종로1·2·3·4가동,0
서린동,종로1·2·3·4가동,0
수송동,종로1·2·3·4가동,0
중학동,종로1·2·3·4가동,0
종로1가,종로1·2·3·4가동,0
공평동,종로1·2·3·4가동,0
관훈동,종로1·2·3·4가동,0
견지동,종로1·2·3·4가동,0
와룡동,종로1·2·3·4가동,0
권농동,종로1·2·3·4가동,0
운니동,종로1·2·3·4가동,0
익선동,종로1·2·3·4가동,0
경운동,종로1·2·3·4가동,0
관철동,종로1·2·3·4가동,0
인사동,종로1·2·3·4가동,0
낙원동,종로1·2·3·4가동,0
종로2가,종로1·2·3·4가동,0
팔판동,삼청동,0
삼청동,삼청동,0
안국동,삼청동,0
소격동,삼청동,0
화동,삼청동,0
사간동,삼청동,0
송현동,삼청동,0
가회동,가회동,0
재동,가회동,0
계동,가회동,0
원서동,가회동,0
훈정동,종로1·2·3·4가동,0
묘동,종로1·2·3·4가동,0
봉익동,종로1·2·3·4가동,0
돈의동,종로1·2·3·4가동,0
장사동,종로1·2·3·4가동,0
관수동,종로1·2·3·4가동,0
종로3가,종로1·2·3·4가동,0
인의동,종로1·2·3·4가동,0
예지동,종로1·2·3·4가동,0
원남동,종로1·2·3·4가동,0
연지동,종로5·6가동,0
종로4가,종로1·2·3·4가동,0
효제동,종로5·6가동,0
종로5가,종로5·6가동,0
종로6가,종로5·6가동,0
이화동,이화동,0
연건동,이화동,0
충신동,종로5·6가동,0
동숭동,이화동,0
혜화동,혜화동,0
명륜1가,혜화동,0
명륜2가,혜화동,0
명륜4가,혜화동,0
명륜3가,혜화동,0
창신동,창신1동,1
창신동,창신2동,1
창신동,창신3동,1
숭인동,숭인1~2동,1
교남동,교남동,0
평동,교남동,0
송월동,교남동,0
홍파동,교남동,0
교북동,교남동,0
행촌동,교남동,0
구기동,평창동,0
평창동,평창동,0
부암동,부암동,0
홍지동,부암동,0
신영동,부암동,0
무악동,무악동,0
무교동,명동,0
다동,명동,0
태평로1가,명동,0
을지로1가,명동,0
을지로2가,명동,0
남대문로1가,명동,0
삼각동,명동,0
수하동,명동,0
장교동,명동,0
수표동,명동,0
소공동,소공동,0
남창동,회현동,0
북창동,소공동,0
태평로2가,소공동,0
남대문로2가,소공동,1
남대문로2가,명동,0
남대문로3가,"소공동
회현동",1
남대문로4가,,1
남대문로5가,회현동,0
봉래동1가,소공동,1
봉래동1가,회현동,0
봉래동2가,회현동,0
회현동1가,"회현동
명동",1
회현동2가,,1
회현동3가,명동,0
충무로1가,회현동,1
충무로1가,명동,1
충무로2가,명동,0
명동1가,명동,0
명동2가,명동,0
남산동1가,명동,0
남산동2가,명동,0
남산동3가,명동,0
저동1가,명동,0
충무로4가,필동,1
충무로4가,광희동,1
충무로5가,필동,1
충무로5가,광희동,1
인현동2가,광희동,0
예관동,광희동,0
묵정동,필동,1
묵정동,장충동,1
필동1가,필동,0
필동2가,필동,0
필동3가,필동,0
남학동,필동,0
주자동,필동,0
예장동,명동,1
예장동,필동,1
장충동1가,장충동,0
장충동2가,필동,1
장충동2가,장충동,1
광희동1가,광희동,0
광희동2가,광희동,0
쌍림동,광희동,0
을지로6가,광희동,0
을지로7가,광희동,0
을지로4가,을지로동,0
을지로5가,을지로동,0
주교동,을지로동,0
방산동,을지로동,0
오장동,광희동,0
을지로3가,을지로동,0
입정동,을지로동,0
산림동,을지로동,0
충무로3가,필동,0
초동,을지로동,0
인현동1가,을지로동,0
저동2가,을지로동,0
신당동,다산동,1
신당동,약수동,1
신당동,청구동,1
신당동,신당동,1
신당동,신당5동,1
신당동,동화동,1
흥인동,신당동,0
무학동,신당동,0
황학동,황학동,0
서소문동,소공동,0
정동,소공동,0
순화동,소공동,1
순화동,회현동,1
의주로1가,소공동,0
충정로1가,소공동,0
중림동,중림동,0
의주로2가,중림동,0
만리동1가,중림동,0
만리동2가,중림동,0
후암동,후암동,0
용산동2가,용산2가동,0
용산동4가,용산2가동,0
갈월동,남영동,0
남영동,남영동,0
용산동1가,남영동,0
동자동,남영동,0
서계동,청파동,0
청파동1가,청파동,0
청파동2가,청파동,0
청파동3가,청파동,0
원효로1가,원효로1동,0
원효로2가,원효로1동,0
신창동,원효로2동,0
산천동,원효로2동,0
청암동,원효로2동,0
원효로3가,원효로2동,0
원효로4가,원효로2동,0
효창동,효창동,0
도원동,용문동,0
용문동,용문동,0
문배동,원효로1동,0
신계동,원효로1동,0
한강로1가,한강로동,0
한강로2가,한강로동,0
용산동3가,한강로동,0
용산동5가,한강로동,0
한강로3가,한강로동,0
이촌동,이촌1~2동,1
이태원동,이태원1~2동,1
한남동,한남동,0
동빙고동,서빙고동,0
서빙고동,서빙고동,0
주성동,서빙고동,0
용산동6가,서빙고동,0
보광동,보광동,0
상왕십리동,왕십리도선동,0
하왕십리동,"왕십리2동
왕십리도선동",1
