연번,시도청,경찰서,관서명,구분,전화번호,주소,행정구
1,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시,중구
2,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시,중구
3,서울청,서울중부,약수,지구대,02-2234-8112,서울특별시,중구
4,서울청,서울중부,신당,파출소,02-2252-0435,서울특별시,중구
5,서울청,서울중부,장충,파출소,02-2274-9003,서울특별시,중구
6,서울청,서울중부,충무,파출소,02-2278-7710,서울특별시,중구
7,서울청,서울중부,을지로3가,파출소,02-2266-2404,서울특별시,중구
8,서울청,서울종로,종로2가,지구대,02-3701-4301,서울특별시,종로구
9,서울청,서울종로,관수,파출소,02-3701-4302,서울특별시,종로구
10,서울청,서울종로,세검정,파출소,02-3701-4507,서울특별시,종로구
11,서울청,서울종로,평창,파출소,02-3701-4308,서울특별시,종로구
12,서울청,서울종로,삼청,파출소,02-3701-4303,서울특별시,종로구
13,서울청,서울종로,통의,파출소,02-3701-4304,서울특별시,종로구
14,서울청,서울종로,청운,파출소,02-3701-4305,서울특별시,종로구
15,서울청,서울종로,옥인,파출소,02-3701-4506,서울특별시,종로구
16,서울청,서울종로,교남,파출소,02-3701-4310,서울특별시,종로구
17,서울청,서울종로,세종로,파출소,02-3701-4312,서울특별시,중구
18,서울청,서울종로,신문로,파출소,02-3701-4311,서울특별시,종로구
19,서울청,서울종로,사직,파출소,02-3701-4309,서울특별시,종로구
20,서울청,서울종로,청진,파출소,02-3701-4313,서울특별시,종로구
21,서울청,서울남대문,태평로,파출소,02-2096-8471,서울특별시,중구
22,서울청,서울남대문,서울역,파출소,02-2096-8472,서울특별시,중구
23,서울청,서울남대문,명동,파출소,02-2096-8473,서울특별시,중구
24,서울청,서울남대문,남대문,파출소,02-2096-8474,서울특별시,중구
25,서울청,서울남대문,중림,파출소,02-2096-8475,서울특별시,중구
26,서울청,서울남대문,회현,파출소,02-2096-8476,서울특별시,중구
27,서울청,서울남대문,서소문,파출소,02-2096-8477,서울특별시,중구
